t_s,t_hr_after_36h,equilibrium_active,separation_earth_mars_m,q_osc_earth_mars_m,e_osc_earth_mars,separation_mars_secondary_m,q_osc_mars_secondary_m,e_osc_mars_secondary,separation_earth_secondary_m,q_osc_earth_secondary_m,e_osc_earth_secondary
17400.0,4.833333333333333,,157057360.55189872,6597205.900332531,0.9208826883009839,10916290.411253566,8937998.675067645,0.4368986386781124,167970608.57780033,148409311.97097832,1.9080280387036108
17700.0,4.916666666666667,,156962313.38114816,6602751.456882575,0.9207847793528565,10712711.580551159,8939775.518134397,0.43654858458065376,167642839.17291644,145457614.28424203,1.9561013810477108
18000.0,5.0,,156866883.64240047,6614627.236482653,0.9206126934415543,10515248.319850799,8941264.847272085,0.43617931737872445,167288308.6049515,142239823.60089684,1.9988323036828388
18300.0,5.083333333333333,,156771104.04319593,6633511.967287452,0.9203586700959748,10324812.992119001,8942490.286099125,0.4357903021545296,166906087.18373913,138739435.99321386,2.035241084935883
18600.0,5.166666666666667,,156675003.22169507,6660104.936483414,0.9200147591285202,10142370.723414715,8943476.8069838,0.435381497443641,166495325.66646424,134940185.86551437,2.0643127403095862
18900.0,5.25,,156578604.5038885,6695110.614549775,0.9195730099602848,9968932.793080105,8944250.307692835,0.43495345051599776,166055284.86121622,130826574.52015172,2.0850278593516705
19200.0,5.333333333333333,,156481924.54282266,6739218.364754974,0.9190257186642323,9805547.047033044,8944837.140538406,0.434507389221991,165585368.661667,126384526.73046431,2.0964035488666486
19500.0,5.416666666666667,,156384971.87703073,6793076.946419828,0.9183657353423073,9653284.984186692,8945263.61553493,0.43404530372443956,165085159.7790307,121602185.68201399,2.097544705513535
19800.0,5.5,,156287745.464001,6857263.940340646,0.9175868291946022,9513225.305717785,8945555.507056808,0.4335700100391546,164554456.9821313,116470852.14235957,2.0877047365383508
20100.0,5.583333333333333,,156190233.26417804,6932250.823834541,0.9166841012815476,9386433.93285908,8945737.600317722,0.43308518633448295,163993312.15628952,110986068.49831879,2.0663533767135984
