radius_key,dynamical_efficiency,sample,outcome,first_contact_time_hr_after_36h,tidal_passage_count,equilibrium_ever_active,outer_position_perturbation_m,outer_velocity_perturbation_m_s,inner_position_perturbation_m,inner_velocity_perturbation_m_s
r99,0.0,16,earth_secondary_contact,28.796542992361907,2,0,50477.09610541816,50.714802215082514,49614.74693345509,25.646151364656774
r99,0.0,17,earth_secondary_contact,29.664767904732233,2,0,195292.1903103024,60.56239135099013,7860.069845788783,16.359138064314493
r99,0.0,18,earth_secondary_contact,29.159934435835673,2,0,98207.76035929858,19.494500596138035,127665.03446933579,11.154161353377635
r99,0.0,19,earth_secondary_contact,28.103006431899146,2,1,219219.25058272702,66.67026151489455,64684.07027815238,26.63795432124396
r99,0.0,20,earth_secondary_contact,29.417871293918438,2,0,195451.0495711207,32.2352729515042,107523.93846440924,27.261692512358685
r99,0.0,21,earth_secondary_contact,28.229836367692112,2,1,119237.6527242448,66.06697607424826,96742.86304261065,17.068072352666118
r99,0.0,22,earth_secondary_contact,29.023413334699963,2,0,179727.97926133545,32.7965535774848,65766.80966947554,13.608380293286094
r99,0.0,23,earth_secondary_contact,28.82568680073897,2,1,91564.26639962911,46.035537388073465,58132.1955619765,9.299754602913417
r99,0.0,24,earth_secondary_contact,28.671395527466057,2,1,207867.58692028397,44.09740903357435,107792.91479662708,22.08825205408282
r99,0.0,25,earth_secondary_contact,29.32137624073268,2,0,218632.58363895776,39.24767116513882,93548.21922696901,14.657361594883824
r99,0.0,26,earth_secondary_contact,28.864865846509904,2,0,27852.19109334521,29.172433065491337,104521.98127598285,12.379115931319193
r99,0.0,27,earth_secondary_contact,28.934997138511267,2,0,75116.13301415453,32.12190372707429,48426.42096933376,17.290879088896762
r99,0.0,28,earth_secondary_contact,28.707470785689715,2,0,34004.35809727637,24.000525115616295,98401.0676495183,21.521485349364955
r99,0.0,29,earth_secondary_contact,28.668650036055027,2,1,172551.2799188573,20.845444024298843,104609.50881666438,19.176723399843272
r99,0.0,30,earth_secondary_contact,29.32782020704435,2,0,46044.2094153537,38.886302290249105,155920.00058598624,12.477906795444017
r99,0.0,31,earth_secondary_contact,29.069220153418673,2,0,96462.81777278292,24.98665765957347,96575.24390479586,16.3841503058914
r99,0.001,0,earth_secondary_contact,29.07612217428937,2,0,266911.2745088388,32.980353223859396,50037.386229439886,12.62100978451081
r99,0.001,1,earth_secondary_contact,28.594097702258562,2,1,142099.79477547784,39.13652235662996,59946.1683485837,23.692704487928317
r99,0.001,2,earth_secondary_contact,28.872704133547423,2,0,112980.31964841767,21.65518151875099,73244.91441807665,16.56514193406026
r99,0.001,3,earth_secondary_contact,29.23468061896896,2,0,315207.1854821795,35.82077443861536,58341.51469743168,24.26126951975948
r99,0.001,4,earth_secondary_contact,29.11008230806047,2,0,437222.4176170914,4.1032728720539735,98603.88692556912,16.18317502559737
r99,0.001,5,earth_secondary_contact,29.167560799049056,2,0,67192.13487563617,22.16982555120182,62351.14202285223,5.832818521813881
